Inflect òbchòdzony | V;PPART;PASS;MPL	òbchòdzoné
Inflect jadrownica | N;LOC;PL;F	jadrownicach
Inflect mimoza | N;NOM(FEM,SG)	mimòza
Inflect ùżëcy | N;INS(SG)	ùżëcym
Inflect mióna | N;INST;PL	miónama
Inflect materiał | N;INS(SG)	materiałem
Inflect kòntinenca | N;ACC(SG)	kòntinence
Inflect żaba | N;NOM(SG)	Żaba
Inflect Ròbòta | N;NOM(SG)	Ròbòta
Inflect padalcowi | ADJ;DAT(MASC,PL)	padalcowatich
Inflect Syjamskô | ADJ;NOM(FEM,SG)	Syjamskô
Inflect kòtwi | N;NOM(FEM,SG)	kòtwa
Inflect Ewangelia | N;GEN(SG)	Ewangelii
Inflect Ewangelia | N;DAT(PL)	Ewanieli
Inflect Kùzniô | N;NOM(SG)	Kùzniô
Inflect stòjny | ADJ;NOM(PL)	stòjny
Inflect lëpa | N;NOM(FEM,SG)	lëpa
Inflect lëpa | N;GEN(PL)	lëpin
Inflect błotka | N;LOC;PL	błotkach
Inflect tón | N;GEN(PL)	tonów
Inflect reszt | N;F;ACC(PL)	resztë
Inflect Kòscérzëna | N;DAT(SG,FEM)	Kòscérzënie
Inflect krzaczasty | ADJ;NOM(FEM,SG)	krzaczasta
Inflect gùreczka | N;DIM;NOM(SG)	gùreczka
Inflect powierzchnia | N;LOC;PL	pòwierzchniach
Inflect dinastëjô | N;ACC(SG,FEM)	dinastëjã
Inflect dinastëjô | N;NOM(SG,FEM)	dinastëjô
Inflect dinastëjô | N;ACC(SG)	dinastëją
Inflect krajoznawstwo | N;GEN(SG)	krajoznawstwa
Inflect słowò | N;INS(SG)	słowem
Inflect spiéwôrz | N;GEN(MASC,PL)	spiéwôrzów
Inflect głãbòk | ADJ;GEN(MASC,PL)	głãbòczich
Inflect fragment | N;NOM(SG)	fragment
Inflect fragment | N;INS(PL)	fragmentami
Inflect mòdel | N;GEN(SG)	mòdélu
Inflect Włosaty | ADJ;NOM(FEM,SG)	Włosatô
Inflect Roczicëna | N;NOM(FEM,SG)	Roczicëna
Inflect religia | N;ACC(PL)	religie
Inflect wierzba | N;NOM(SG)	wierzba
Inflect przëdôwk | N;GEN(SG)	przëdôwkù
Inflect zôpłata | N;NOM(PL)	zôpłatë
Inflect szuta | N;GEN(PL)	szutów
Inflect bezsenność | N;ACC(SG)	bezsennoscã
Inflect znóny | ADJ;NOM(MASC,SG)	znóny
Inflect łacëzna | N;GEN(SG)	łacëznë
Inflect łiszczeć | V;3;PL;PRES	łiszczą
Inflect kąpanié | N;NOM(SG,NEUT)	kąpanié
Inflect sztremlëzna | N;NOM(SG,FEM)	sztremlëznë
Inflect miéwac | V;PST;M;SG	miéwôł
Inflect Maja | N;NOM(FEM,SG)	Maja
Inflect język | N;NOM(SG)	język
Inflect prosti | ADJ;VOC(MASC,SG)	prosti
Inflect prosti | ADJ;NOM(FEM,SG)	prosto
Inflect stólica | N;ACC(SG)	stolëcã
Inflect autor | N;GEN(MASC,SG)	autora
Inflect autor | N;M1;DAT(SG)	autorowi
Inflect autor | N;ACC(SG)	autorã
Inflect Òlimpiô | N;GEN(SG)	Òlimpii
Inflect Niewôżné | ADJ;NOM(FEM,SG)	Niewôżné
Inflect nôùkòwi | ADJ;NOM(MASC,PL)	nôùkòwé
Inflect BrodnickòKartëskô | ADJ;NOM(FEM,SG)	BrodnickòKartëskô
Inflect Zelëzna | N;NOM(SG)	Zldzënie
Inflect Venus | N;NOM(SG)	Venus
Inflect Żukowo | N;DAT(SG)	Żukowie
Inflect òsëba | N;GEN(PL)	òsób
Inflect rzeczny | ADJ;NOM(PL,MASC)	rzeczne
Inflect PÓLNY | ADJ;NOM(MASC,SG)	pólny
Inflect przebùdowiwac | V;PFV;PL;PST	przebùdowiwelë
Inflect rоѕсёnié | N;NOM(SG,MASC)	rоѕсёnё
Inflect górlôk | N;GEN(PL)	górlôków
Inflect wińc | N;ACC(SG)	wińc
Inflect artirasëzmòwi | ADJ;NOM(MASC,PL)	artirasëzmòwé
Inflect wspòmnienié | N;LOC;PL	wspòmnieniach
Inflect Bòcheńc | N;GEN(PL)	Bòchenów
Inflect cheomsa | N;NOM(PL,MASC)	cheomsa
Inflect piC | V;NFIN	picô
Inflect pazura | N;ACC(PL)	pazurama
Inflect Kaszëbòwie | N;GEN(PL)	Kassuben
Inflect dodatny | ADJ;ACC(FEM,PL)	Dodatné
Inflect klasa | N;NOM(PL)	klasy
Inflect Słôwosznia | N;NOM(SG)	Słôwòszëna
Inflect swirgòlc | N;NOM(PL)	swirgolë
Inflect Strzebielëno | N;NOM(SG)	Strzebielëna
Inflect maszina | N;NOM(SG)	maszina
Inflect maszina | N;GEN(PL)	maszinów
Inflect cèp | N;F;NOM(PL)	Cepë
Inflect larwa | N;ACC(SG,FEM)	larwã
Inflect larwa | N;ACC(SG)	larwë
Inflect tradicëja | N;GEN(SG)	tradicëji
Inflect Telewizjô | N;GEN(SG)	Telewizji
Inflect piorën | N;ACC(SG)	piorën
Inflect Japòńskô | ADJ;NOM(FEM,SG)	Japòńskô
Inflect nôrzãdło | N;NOM(SG)	nôrzãdło
Inflect Niejezen | ADJ;NOM(FEM,PL)	Niejedne
Inflect bãbnienie | N;GEN(SG)	bãbnieniô
Inflect kaplëczka | N;F;NOM(SG)	kaplëczka
Inflect człowik | N;ACC(SG)	człowiéka
Inflect smiotana | N;GEN(SG)	smiotanë
Inflect sëtmëklasowi | ADJ;VOC(MASC,SG)	sëtmëklasowi
Inflect płaca | N;GEN(SG)	płacy
Inflect òbrozk | N;ACC(SG,MASC)	òbazów
Inflect łowic | V;VBS;NFIN;PSV	łowieniô
Inflect miasto | N;NOM(SG)	Miasto
Inflect naszi | ADJ;GEN(MASC,SG)	naszégò
Inflect chłoscëwé | ADJ;INS(MASC,SG)	chłoscëwim
Inflect copanié | V;NFIN	copanié
Inflect słôwiący | ADJ;NOM(PL,MASC)	słôwiącé
Inflect Ùchwôł | N;ACC(SG)	Ùchwôlą
Inflect dziad | N;GEN(PL)	Dziadów
Inflect kasowy | ADJ;M;NOM(SG)	kasowy
Inflect miesiąc | N;GEN(PL)	miesąców
Inflect òpiéka | N;GEN(SG)	òpégò
Inflect bubk | N;GEN(PL)	bubków
Inflect Filipiny | N;LOC;PL	Filipinach
Inflect letni | ADJ;GEN(FEM,SG)	letnéj
Inflect Mariô | N;F;NOM(SG)	Mariô
Inflect Augusta | N;FEM;PROPN;SG	Augusta
Inflect trudny | ADJ;NOM(MASC,SG)	trudny
Inflect trudny | ADJ;NOM(FEM,SG)	trudnô
Inflect òpòwiôdôcz | N;NOM(SG)	òpòwiôdôcz
Inflect Mozilla | N;ACC(FEM,SG)	Mozille
Inflect Mozilla | N;GEN(SG)	Mozilli
Inflect asemblerz | N;DAT(PL)	asemblerze
Inflect Byron | N;GEN(SG)	Byrona
Inflect gbùrga | N;GEN(SG)	gbura
Inflect same | ADV;INTENSITY	same
Inflect dërżeniowi | ADJ;ACC(FEM,SG)	dërżéniową
Inflect Efezjanin | N;GEN(PL)	Efezjanów
Inflect owca | N;GEN(PL)	òwców
Inflect szarpawica | N;NOM(SG)	szarpawica
Inflect Gdąńskò | N;NOM(SG,NEUT)	Gdąńskò
Inflect Totalitarny | ADJ;ACC(FEM,SG)	Totalitarną
Inflect widownia | N;ACC(SG)	widowniã
Inflect kòmpùter | N;F;GEN(SG)	kòmpùtra
Inflect kòmpùter | N;DAT(FEM,PL)	kòmpùtrama
Inflect wiernosc | N;DAT(SG)	wiernoscë
Inflect Parafiô | N;NOM(SG)	Parafiô
Inflect Plattdüütsch | ADJ	Plattdüütsch
Inflect drzewo | N;NOM(SG)	drzewo
Inflect Klôsztr | N;DAT(SG,MASC)	Klôsztórném
Inflect wiek | N;GEN(PL)	wieków
Inflect wiek | N;GEN(SG)	wiekù
Inflect Benjamina | N;ACC(FEM,SG)	Benjamina
Inflect Bòstón | N;VOC(SG)	Bòstónie
Inflect lato | N;INS(SG)	latem
Inflect niedalek | N;NOM(MASC,SG)	niedalek
Inflect Balbina | N;NOM(SG)	Balbina
Inflect krótczi | ADJ;NOM(NEUT,SG)	krótkò
Inflect żort | N;GEN(PL)	òrtów
Inflect òbronnô | ADJ;NOM(FEM,SG)	òbronno
Inflect pùcowac | V;INF	pùcowac
Inflect pocwierzdzëna | N;F;NOM(SG)	pocwierdzenié
Inflect połowi | N;GEN(SG)	pòłòwy
Inflect Neja | N;VOC(SG)	Naju
Inflect piszczówka | N;NOM(SG)	piszczówka
Inflect piszczówka | N;GEN(PL)	piszczówków
Inflect piszczówka | N;INST;SG	piszczówką
Inflect wòdzyk | N;NOM(SG)	wòdzëk
Inflect domôcy | ADJ;GEN(MASC,SG)	domôcégò
Inflect Dóm | N;ACC(SG)	Dodóm
Inflect próba | N;NOM(PL)	próbë
Inflect sejmòwnô | ADJ;GEN(MASC,PL)	sejmòwëch
Inflect sługa | N;DAT(SG)	sludze
Inflect Brusy | N;LOC;PL	Brusach
Inflect Papiasz | N;GEN(SG)	Papiasza
Inflect ceszëc | V;IMP;2;SG	ceszi
Inflect Górny | ADJ;NOM(MASC,SG)	Górny
Inflect Górny | ADJ;MASC;PSSV;SG	Górnégò
Inflect zółti | ADJ;INS(MASC,SG)	zółtim
Inflect jednoroczne | ADJ;ACC(FEM,SG)	jednoroczną
Inflect rektór | N;NOM(SG)	rektór
Inflect drzewò | N;NOM(SG)	drzewò
Inflect kąpiel | N;VOC(SG)	kąpiélë
Inflect Biédni | ADJ;NOM(MASC,PL)	Biédni
Inflect biéda | N;DAT(SG)	biédze
Inflect biéda | N;NOM(PL)	biédë
Inflect zjawisko | N;GEN(PL)	zjawiskow
Inflect panowanie | N;NOM(SG,NEUT)	panowanié
Inflect panowanie | N;GEN(SG)	panowaniégò
Inflect panowanie | N;INS(SG)	panowaniém
Inflect panowanie | N;GEN(SG)	panowaniô
Inflect Cassubia | N;LOC;SG	Cassubie
Inflect mãczenica | N;ACC(SG)	mãczenicã
Inflect pasażér | N;GEN(PL)	pasażérów
Inflect kòlonista | N;NOM(PL)	kòloniscë
Inflect wëszëzna | N;NOM(SG,FEM)	wëszëzna
Inflect wëszëzna | N;ACC(SG)	wëszëznã
Inflect wëszëzna | N;GEN(SG)	wëszëznë
Inflect wëszëzna | N;GEN(PL)	wëszëznów
Inflect dama | N;INS(SG)	damią
Inflect ciãżkô | ADJ;NOM(FEM,SG)	cãżkô
Inflect Mãlëca | N;NOM(FEM,SG)	Melica
Inflect modła | N;GEN(PL)	modłów
Inflect Downs | N	Downs
Inflect spòdlowi | ADJ;GEN(MASC,PL)	spòdlowëch
Inflect duch | N;NOM(SG)	duch
Inflect dochadac | V;POS;IMPF;NFIN	dochadac
Inflect słowik | N;NOM(SG)	słowik
Inflect szasa | N;LOC;SG	szasie
Inflect łowny | ADJ;INS(MASC,SG)	łownym
Inflect Kraków | N;LOC;SG	Krakòwie
Inflect osëcha | N;LOC;PL	osëchach
Inflect jic | V;PRS;2;SG	Jesz
Inflect renka | N;F;GEN(PL)	renic
Inflect Rodezja | N;GEN(SG)	Rodezji
Inflect magnoliowaty | ADJ;ACC(FEM,PL)	magnoliowatëch
Inflect gardzë | V;IMP;2;SG	gardze
Inflect ludny | ADJ;NOM(FEM,SG)	ludowô
Inflect benediktinka | N;GEN(PL,MASC)	benediktinków
Inflect germanizacja | N;GEN(SG)	germanizacji
Inflect òrganizowac | V;INF	òrganizowac
Inflect krãg | N;GEN(PL)	krãgów
Inflect krãg | N;GEN(PL)	krãgù
Inflect szwedzkô | ADJ;NOM(FEM,SG)	Szwedzkô
Inflect hotel | N;GEN(SG)	hotelu
Inflect zarnié | N;ACC(SG)	zarno
Inflect nosoróg | N;NOM(SG)	nosoróg
Inflect zascygać | V;NFIN;GER	zascyganie
Inflect Kazachstan | N;GEN(SG)	Kazachstanu
Inflect Zamknięty | ADJ;NOM(MASC,SG)	Zamknięty
Inflect titul | N;ACC(SG)	titlu
Inflect bónk | N;NOM(MASC,SG)	bónk
Inflect płonny | ADJ;ACC(FEM,SG)	płonné
Inflect Zgòrzôłk | N;FEM;PL	Zgòrzôłczi
Inflect pielgrzimca | N;LOC;SG	pielgrzimce
Inflect jajo | N;GEN(PL)	jajów
Inflect drzéwc | N;F;NOM(SG)	drzewiãca
Inflect chrzescënë | N;GEN(SG)	chrzescëjaństwa
Inflect szpicowati | ADJ;NOM(MASC,PL)	szpicowati
Inflect Ùsztôłcenié | N;NOM(SG)	Ùsztôłcenié
Inflect Górsczi | N;NOM(MASC,SG)	Górsczigù
Inflect pùblikòwac | V;INF	pùblikòwac
Inflect ksądzëc | N;GEN(PL)	ksãżëców
Inflect òpisowny | ADJ;INS(MASC,SG)	òpisownym
Inflect Òlsza | N;NOM(FEM,SG)	Òlszô
Inflect drapieżny | ADJ;VOC(MASC,SG)	drapieżny
Inflect ksiãga | N;LOC;PL	ksãgach
Inflect wzérnik | N;NOM(SG)	wzérnik
Inflect Òlgierd | N;NOM(SG)	Òlgerd
Inflect Petersburg | N;GEN(SG)	Petersburgu
Inflect całi | ADJ;GEN(MASC,SG)	całégò
Inflect całi | ADJ;NOM(FEM,SG)	całô
Inflect letkò | ADV	letkò
Inflect hewòtny | ADJ;INS(MASC,SG)	hewòtnym
Inflect pòlabsczi | ADJ;GEN(MASC,PL)	pòlabsczëch
Inflect rozwinitë | ADJ;NOM(FEM,SG)	rozwiniętô
Inflect jôdnica | N;NOM(FEM,SG)	jôdnica
Inflect jôdnica | N;NOM(PL)	jôdnicë
Inflect Pòmòrzë | N;LOC;SG	Pòmòrzu
Inflect òpłôtk | N;GEN(SG)	òpłôtkù
Inflect material | N;ACC(PL)	materiale
Inflect jałowiec | N;GEN(PL)	jałowców
Inflect sobòrz | N;LOC;SG;M3	sobòrze
Inflect pòsóbnô | ADJ;NOM(FEM,SG)	pòsóbnô
Inflect Młodzëzna | N;GEN(SG)	Młodzëznë
Inflect piwo | N;GEN(SG)	piwa
Inflect piwo | N;INS(SG)	piwem
Inflect piwo | N;NOM(SG)	piwo
Inflect rozwój | N;NOM(MASC,SG)	rozwój
Inflect Lënka | N;GEN(SG)	Lënk
Inflect honoroł | ADJ;NOM(MASC,PL)	Honorowi
Inflect kléwer | N;NOM(SG)	kléwer
Inflect czidzëzna | N;NOM(SG)	czidzëna
Inflect Equisetum | N;NOM(SG)	Equisetum
Inflect kłãb | N;LOC;SG	kłãbie
Inflect naucëc | V;IMP;PFV;PL2	nôùczi
Inflect familia | N;DAT(SG)	familji
Inflect Lorentz | N;GEN(MASC,SG)	Lorentza
Inflect habicô | N;NOM(PL)	habice
Inflect groza | N;GEN(SG)	grozy
Inflect mikstura | N;GEN(SG)	miksturë
Inflect wlôżô | V;3;SG;FUT	wlôżô
Inflect bórk | N;NOM(SG)	Borë
Inflect zwierzëca | N;FEM;SG	zwierzëce
Inflect Prospekt | N;NOM(SG)	Prospekt
Inflect Braga | N;GEN(SG,MASC)	Bragi
Inflect lëstopadnikòwy | ADJ;INS(MASC,SG)	lëstopadnikòwim
Inflect mdze | V;3;SG;FUT	mdze
Inflect dënk | N;F;INS(PL)	dënëgama
Inflect kvitac | V;GER;VOC(MASC)	kwitnieniô
Inflect pòstãpnë | ADJ;GEN(MASC,PL)	pòstãpnëch
Inflect żniwo | N;GEN(PL)	żnijów
Inflect pytaniã | N;ACC(SG)	pytania
Inflect wëmawianié | V;NFIN	wëmawianié
Inflect òznak | N;INS(SG)	òznaką
Inflect rozwôżanié | N;NOM(SG,NEUT)	rozwôżanié
Inflect jinak | ADV	Jine
Inflect wiôldżi | ADJ;NOM(FEM,SG)	wiãkszô
Inflect Szkic | N;NOM(PL)	Szkice
Inflect pismiono | N;GEN(PL)	pismionów
Inflect Mazury | N;LOC;PL	Mazurach
Inflect òdpòwiedzalny | ADJ;NOM(FEM,SG)	òdpòwiedzalnô
Inflect òbstojenjë | V;PPFV;NMLS	òbstojenié
Inflect Górnik | N;GEN(SG)	Górnika
Inflect przëkriwkòwi | ADJ;NOM(PL,MASC)	przëkriwkòwé
Inflect słowo | N;GEN(PL)	słów
Inflect bydło | N;GEN(SG)	bëdła
Inflect pòzwa | N;GEN(SG)	pòzwë
Inflect pòzwa | N;GEN(PL)	pòzwónëch
Inflect pòzwa | N;ACC(SG)	pòzwóną
Inflect pòzwa | N;GEN(PL)	pòzwów
Inflect Premiera | N;NOM(FEM,SG)	Premiera
Inflect mòderny | ADJ;FEM;SG;LOC	mòderné
Inflect zabezpieczenie | N;GEN(SG)	zabezpieczeniô
Inflect kònkùrëja | N;NOM(PL)	kònkùrëje
Inflect Henryka | N;F;NOM(SG)	Henrika
Inflect grać | V;IND;PST;NFIN	grało
Inflect òbéńda | N;LOC;PL	òbéndach
Inflect plac | N;NOM(SG)	Plac
Inflect rozkoscérzënanié | N;INS(SG)	rozkoscérzanim
Inflect pùzdni | ADJ;VOC(MASC,SG)	pùzdni
Inflect luti | ADJ;VOC(MASC,SG)	luti
Inflect luti | ADJ;NOM(MASC,SG)	luty
Inflect zaprawa | N;ACC(SG)	zaprawã
Inflect zaprawa | N;NOM(SG)	zaprawё
Inflect bùdacyjô | N;GEN(SG)	bùdaceji
Inflect pokrzëwa | N;NOM(SG)	pòkrzëwa
Inflect Jãzëkòwò | ADJ;NOM(NEUT,SG)	Jãzëkòwò
Inflect zarnek | N;GEN(PL)	zarnków
Inflect pògan | N;GEN(PL)	pòganów
Inflect wiodro | N;F;NOM(SG)	wiodra
Inflect wiodro | N;NOM(SG)	wiodro
Inflect pòlsczi | ADJ;NOM(FEM,SG)	pòlskô
Inflect Séwnô | ADJ;NOM(FEM,SG)	Séwnô
Inflect ząbkòwiczczi | N;GEN(SG,MASC)	ząbkowicczego
Inflect pasowé | ADJ;;NOM(PL,MASC,ANIM)	pasowé
Inflect ùszniczka | N;FEM;SG	ùsznica
Inflect pasmã | N;ACC(SG)	pasmã
Inflect bloczi | N;NOM(PL)	bloczi
Inflect Kartëza | N;GEN(SG)	Kartëzë
Inflect Kartaginô | N;ACC(SG)	Kartaginã
Inflect dochtór | N;NOM(MASC,SG)	dochtór
Inflect aglomeracja | N;NOM(FEM,PL)	aglomeracje
Inflect mieszkanié | N;LOC;PL	mieszkaniama
Inflect mieszkanié | N;GEN(SG)	mieszkaniô
Inflect mieszkanié | N;ACC(SG)	mieszkanù
Inflect szosa | N;ACC(PL)	szos
Inflect Lëzelec | N;DAT(PL)	Lëzënie
Inflect sobòtka | N;F;NOM(SG)	sobòtka
Inflect talãt | N;GEN(PL)	taleńtów
Inflect slauos | N;NOM(SG,MASC)	slauos
Inflect wëdawać | V;ACT;INDF;PRS	wëdając
Inflect czedë | ADV	czedës
Inflect stôlec | N;LOC;PL	stalatach
Inflect distrikt | N;LOC;SG	distriktë
Inflect Stepòwi | ADJ;NOM(MASC,SG)	Stepòwi
Inflect wòda | N;NOM(FEM,PL)	Waters
Inflect tatrzańsczi | ADJ;GEN(MASC,SG)	tatrzańsczégò
Inflect kòlibiô | N;DAT(SG)	kòlibie
Inflect Anna | N;NOM(SG)	Anna
Inflect Suplement | N;NOM(SG)	Suplement
Inflect dolekomòrsczi | ADJ;NOM(MASC,PL)	dalekòmòrsczich
Inflect Bùblëca | N;GEN(SG)	Bubblytze
Inflect Vopel | N;MASC;SG	Vopel
Inflect paranoidalny | ADJ;ACC(FEM,SG)	paranoidalną
Inflect Lëturgiczny | ADJ;NOM(MASC,SG)	Lëturgiczny
Inflect badac | V;NFIN;INF	badac
Inflect Wilno | N;NOM(SG)	Wilno
Inflect ksążka | N;GEN(SG)	ksążczi
Inflect sus | N;NOM(FEM,SG)	suska
Inflect ôst | N;GEN(SG)	òsła
Inflect nordowi | ADJ;ACC(FEM,SG)	nordową
Inflect cësnienie | N;GEN(SG)	cësnieniô
Inflect mòrsczëmista | N;F;DAT(PL)	mòrszczimistawònagami
Inflect dïstrékt | N;GEN(PL)	distriktów
Inflect Krefft | N;NOM(SG)	Krefft
Inflect òstróv | N;LOC;SG	òstrowiu
Inflect òbczëszczalnô | N;NOM(SG)	òbczëszczalniô
Inflect alkalojid | N;NOM(PL)	alkalojidë
Inflect skùńczëna | N;DAT(SG)	skùńczenim
Inflect kôłpa | N;NOM(FEM,SG)	kôłpa
Inflect szpańskô | ADJ;FEM;SG;LOC	szpańskù
Inflect józefk | N;VOC(MASC,SG)	józefk
Inflect murin | N;ACC(MASC,SG)	murinum
Inflect pòspòrt | N;GEN(PL)	Paszpòrtów
Inflect òskòlańc | N;INSTR;PL	òskòlańcama
Inflect Luperkalie | N;GEN(PL)	Luperkaliów
Inflect SZIJA | N;ACC(PL)	szijice
Inflect Friedrich | N;NOM(MASC,SG)	Friedrichù
Inflect przetwòrnik | N;NOM(SG)	przetwòrnik
Inflect softwëra | N;ACC(SG)	softwôrą
Inflect nac | V;PRS;3P;PL	naji
Inflect kategoriô | N;F;NOM(SG)	kategoriô
Inflect pieszô | ADJ;NOM(FEM,SG)	pieszô
Inflect pipka | N;NOM(SG)	pipka
Inflect komplét | N;ACC(SG)	kompletã
Inflect knecht | N;GEN(PL)	knechtów
Inflect 30-letni | ADJ;NOM(MASC,SG)	30letni
Inflect chałëpnik | N;NOM(PL)	Chałëpniczi
Inflect słowiański | ADJ;MASC;PL;LOC	słowiónsczich
Inflect Miemieckô | ADJ;NOM(FEM,SG)	Miemieckô
Inflect kôrbón | N;VOC(PL)	karbònie
Inflect Andrzej | N;ACC(SG)	Andrzejã
Inflect przerobnik | N;GEN(SG)	przerobnika
Inflect sławny | ADJ;NOM(FEM,SG)	sławnô
Inflect tłómaczka | N;NOM(FEM,SG)	tłómaczka
Inflect planeta | N;NOM(FEM,SG)	planeta
Inflect Latjã | N;ACC(SG)	Lacjum
Inflect Piôsznica | N;F;NOM(SG)	Piôsznica
Inflect arcybiskùpstwò | N;DAT(SG)	arcybiskùpstwa
Inflect póznobarokòwi | ADJ;NOM(MASC,SG)	póznobarokòwi
Inflect swòji | ADJ;GEN(MASC,SG)	swòjeg
Inflect Zaostałoscą | N;INS(SG,FEM)	Zaostałoscą
Inflect Metoka | N;ACC(SG)	Metochiã
Inflect zwësk | N;MASC;SG	zwësk
Inflect zwësk | N;ACC(SG)	zwëskã
Inflect ùbezpieka | V;FIN;SG;3	ùbezpieka
Inflect gardło | N;LOC;SG	gardle
Inflect nôczãscéJ | ADV	nôczãsci
Inflect òbòwiązkòwi | ADJ;NOM(MASC,SG)	òbòwiązkòwi
Inflect òbòwiązkòwi | ADJ;INS(FEM,SG)	òbòwiązkòwôm
Inflect Medal | N;ACC(SG)	Medalã
Inflect modrë | ADJ;GEN(FEM,SG)	Modrej
Inflect Kaszëba | N;DAT(PL)	Kaszëbóm
Inflect założa | N;GEN(SG)	założeniô
Inflect Jeschke | N;NOM(SG)	Jeschke
Inflect Ùstëp | N;ACC(SG)	Ùstëpã
Inflect rabòta | N;GEN(SG)	rabòty
Inflect rabòta | N;ACC(SG)	rabòtã
Inflect Pòlón | N;ACC(MASC,SG)	Pòlan
Inflect sëchi | ADJ;MASC;INST;SG	sëchim
Inflect slënik | N;NOM(FEM,SG)	slënika
Inflect rządza | N;PL	rządë
Inflect Sumerowie | N;NOM(PL)	Sumerowie
Inflect wãgòrz | N;NOM(PL)	wãgòrzi
Inflect pòkrok | N;ACC(SG,MASC)	pòkrokã
Inflect òstropùs | N;NOM(SG)	òstropùs
Inflect Dzãka | N;NOM(SG)	Dzãka
Inflect dzëcé | N;NOM(PL)	dzëcë
Inflect narodny | ADJ;NOM(FEM,SG)	Narodowa
Inflect planeta | N;GEN(PL)	planetów
Inflect planeta | N;ACC(SG)	planetą
Inflect miészëznowi | ADJ;VOC(MASC,PL)	miészëznowëch
Inflect Òkreslenié | N;NEUT;SG	òkreslenié
Inflect jachtowanié | N;GEN(SG)	jachtowaniô
Inflect germanizacëjô | N;F;ACC(SG)	germanizacëji
Inflect spidleczny | ADJ;NOM(MASC,SG)	spidleczny
Inflect Tłukawa | N;LOC;PL	Tłukawach
Inflect drogô | N;ACC(SG)	drogą
Inflect przemysłowi | ADJ;ACC(MASC,PL)	przemësłowé
Inflect miãkki | ADJ;NOM(MASC,SG)	Mekki
Inflect piemónk | N;F;NOM(PL)	piemòncczi
Inflect Neapol | N;NOM(SG)	Neapòl
Inflect starostwo | N;GEN(SG)	starostwa
Inflect starostwo | N;NOM(SG,NEUT)	starostwo
Inflect Pùtnica | N;NOM(FEM,SG)	Pùtnica
Inflect antropologia | N;NOM(SG,FEM)	antropologia
Inflect Niebiańsczi | ADJ;MASC;PSS;PL	Niebiańsczi
Inflect nadzór | N;INS(SG)	nadzorã
Inflect pòwiesc | N;GEN(PL,MASC)	pòwiesców
Inflect òrganista | N;DAT(SG)	òrganistë
Inflect SwiãtosławaSygrëda | N;LOC;SG	SwiãtosławëSygrëdë
Inflect Dwiżnik | N;NOM(SG)	Dwiżnik
Inflect żëc | V;NFIN	żeje
Inflect swiątnica | N;DAT(FEM,SG)	swiątnicë
Inflect swiątnica | N;INS(SG)	swiątnicą
Inflect Pamiãtnik | N;NOM(SG)	Pamiãtnik
Inflect grunt | N;GEN(SG)	gruńtu
Inflect Dymin | N;VOC(SG)	Dymine
Inflect Nipponkoku | N;NOM(SG)	Nipponkoku
Inflect składnik | N;GEN(SG)	składnika
Inflect składnik | N;NOM(PL)	składniki
Inflect chwila | N;GEN(SG)	chwili
Inflect chwila | N;ACC(SG)	chwilã
Inflect figura | N;NOM(SG,FEM)	figura
Inflect komputer | N;NOM(SG)	komputer
Inflect zasada | N;LOC;PL	zasadach
Inflect Lech | N;GEN(MASC,SG)	Lecha
Inflect dzecny | ADJ;GEN(PL)	dzecnëch
Inflect zaprzãg | N;ACC(MASC,SG)	zaprzig
Inflect kliniczny | ADJ;ACC(FEM,SG)	kliniczné
Inflect kwiôt | N;VOC(PL)	kwiôtë
Inflect kwiôt | N;GEN(PL)	kwiôtów
Inflect swòjizna | N;DAT(PL)	swòjiznama
Inflect swòjizna | N;GEN(SG)	swòjiznë
Inflect Bajerowo | ADJ;NOM(FEM,SG)	Bajerowô
Inflect papirus | N;LOC;PL	papirusach
Inflect papirus | N;NOM(PL)	papirusë
Inflect Pelargonijô | N;NOM(SG)	Pelargonijô
Inflect dzëwiąti | ADJ;NOM(MASC,SG)	dzëwiąti
Inflect Ceramika | N;GEN(SG)	Ceramiki
Inflect długy | ADJ;NOM(PL,MASC,INAN)	dłudżié
Inflect Nieznanô | ADJ;NOM(FEM,SG)	nieznany
Inflect objawienie | N;NOM(NEUT,SG)	objawienie
Inflect pòmësłodôwcë | N;INS(SG)	pòmësłodôwcą
Inflect òdległosc | N;GEN(FEM,SG)	òdległoscë
Inflect suum | N;ACC(SG)	suum
Inflect drëkarnia | N;DAT(SG)	drëkarnie
Inflect batug | N;GEN(PL)	batugów
Inflect zawartość | N;FEM;SG	zawartość
Inflect Gwineja | N;NOM(SG)	Gwinejô
Inflect słowo | N;INS(PL)	słowama
Inflect zmiana | N;GEN(FEM,SG)	zmianë
Inflect diapozytiwa | N;LOC;PL	diapozytiwach
Inflect zależnota | N;FEM;SG	zależnotë
Inflect ADJ | ADJ;NOM(FEM,SG)	Cenkô
Inflect niebò | N;NOM(NEUT,SG)	niebò
Inflect niebò | N;INS(SG)	niebù
Inflect Angelica | N;NOM(FEM,SG)	Angelica
Inflect turkùsowòwi | ADJ;MASC;PSSV;SG	turkùswowi
Inflect pòwiôstka | N;LOC;DAT(PL)	pòwiòstkach
Inflect pòwiôstka | N;GEN(SG)	pòwiôstczi
Inflect pòwiôstka | N;NOM(SG,FEM)	pòwiôstka
Inflect rëba | N;ACC(SG)	rëbã
Inflect rëba | N;GEN(FEM,SG)	rëbë
